,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
286,Changji,0,CN,1563031403,81,32.07,116.17,73.0,6.49
287,Hasaki,90,JP,1563031405,94,35.73,140.83,73.4,4.7
288,Coquimbo,0,CL,1563031406,50,-29.95,-71.34,51.8,9.17
289,Laguna,40,BZ,1563031407,70,16.17,-88.94,87.8,6.93
290,Cap Malheureux,75,MU,1563031408,56,-19.98,57.61,71.6,6.93
291,Bonavista,72,CA,1563031410,72,48.65,-53.11,55.54,9.24
292,Santa Helena de Goias,0,BR,1563031411,37,-17.81,-50.6,81.1,6.04
293,Ostrovnoy,2,RU,1563031412,64,68.05,39.51,48.88,7.92
294,Aasiaat,100,GL,1563031414,89,68.71,-52.87,41.5,7.67
295,Zhigansk,83,RU,1563031415,67,66.77,123.37,55.0,10.56
296,Jamame,44,SO,1563031416,66,0.07,42.75,80.2,15.52
297,Daru,100,PG,1563031417,90,-9.07,143.21,72.82,8.08
298,Mamit,100,IN,1563031419,98,23.92,92.49,74.8,6.76
299,Traismauer,96,AT,1563031420,77,48.35,15.74,69.01,18.34
300,Kaitangata,100,NZ,1563031421,81,-46.28,169.85,48.99,4.0
301,Moa,86,CU,1563031423,64,20.66,-74.95,81.82,10.47
302,Hervey Bay,59,AU,1563031276,44,-25.3,152.85,60.01,8.05
303,Grindavik,75,IS,1563031425,87,63.84,-22.43,57.2,12.75
304,Sarkand,51,KZ,1563031426,23,45.41,79.91,76.78,6.64
305,Westport,1,US,1563031428,65,41.14,-73.36,82.0,11.41
306,Nemuro,100,JP,1563031429,96,43.32,145.57,54.82,15.59
307,Tura,100,RU,1563031430,86,64.27,100.22,58.6,1.66
308,Bushehr,0,IR,1563031432,49,28.97,50.84,96.8,6.93
309,Lethem,29,GY,1563031143,60,3.38,-59.8,85.96,11.27
310,Colac,83,AU,1563031434,98,-38.34,143.59,42.01,1.99
311,Bulungu,8,CD,1563031435,63,-4.54,18.6,80.02,12.01
312,Narsaq,20,GL,1563031190,51,60.91,-46.05,60.8,8.05
313,Eureka,90,US,1563031268,93,40.8,-124.16,60.01,3.36
314,Lysyye Gory,89,RU,1563031439,60,51.55,44.84,73.0,3.91
315,Bam,64,IR,1563031247,12,29.11,58.36,82.72,9.6
316,Golspie,98,GB,1563031442,77,57.97,-3.98,64.0,16.11
317,Torbay,75,CA,1563031183,67,47.66,-52.73,66.0,8.05
318,Marquette,40,US,1563031444,53,46.54,-87.4,73.0,17.22
319,Azul,0,AR,1563031446,97,-36.78,-59.86,44.01,2.86
320,Bhadasar,0,IN,1563031447,33,28.3,74.31,100.72,25.12
321,Soyo,20,AO,1563031154,65,-6.13,12.37,80.6,10.29
322,Manta,100,RO,1563031449,64,45.1,24.1,69.76,5.19
323,Sinnamary,8,GF,1563031451,78,5.38,-52.96,80.2,13.87
324,Hithadhoo,2,MV,1563031452,77,-0.6,73.08,84.52,13.18
325,Sabha,0,LY,1563031453,6,27.03,14.43,109.54,17.9
326,Olkhovatka,56,RU,1563031454,66,50.28,39.3,69.04,6.49
327,Cabo San Lucas,0,MX,1563031245,72,22.89,-109.91,84.0,6.4
328,Vila Velha,40,BR,1563031457,74,-3.71,-38.6,86.0,16.11
329,Manggar,0,ID,1563031459,90,-2.88,108.27,74.98,3.96
330,Omsukchan,93,RU,1563031460,65,62.53,155.8,58.42,1.61
331,Eirunepe,5,BR,1563031461,57,-6.66,-69.87,86.68,2.37
332,Broome,75,GB,1563031463,72,52.47,1.45,72.0,8.05
333,Aleksandrovskiy Zavod,100,RU,1563031464,73,50.92,117.94,62.92,7.67
334,Grand-Santi,80,GF,1563031465,57,4.27,-54.38,85.78,3.51
335,Biak,41,ID,1563031466,95,-0.91,122.88,59.14,5.88
336,Cocobeach,75,GA,1563031468,78,1.01,9.58,80.6,6.93
337,Whitianga,100,NZ,1563031469,97,-36.83,175.7,57.0,5.99
338,Port-Gentil,20,GA,1563031470,69,-0.72,8.78,82.4,11.41
339,Qasigiannguit,40,GL,1563031472,57,68.82,-51.19,51.8,4.7
340,Leshukonskoye,51,RU,1563031473,35,64.9,45.76,67.24,2.01
341,Knysna,20,ZA,1563031419,87,-34.04,23.05,59.0,4.7
342,Kangaatsiaq,100,GL,1563031475,87,68.31,-53.46,42.94,6.24
343,Rocha,49,UY,1563031477,81,-34.48,-54.34,54.28,10.69
344,Williston,1,US,1563031478,73,48.15,-103.62,77.0,3.36
345,Hagere Hiywet,100,ET,1563031479,97,8.98,37.85,57.52,3.18
346,Flinders,0,AU,1563031481,49,-34.58,150.85,50.0,18.34
347,Morro Bay,90,US,1563031482,100,35.37,-120.85,68.0,3.0
348,Taoudenni,43,ML,1563031483,4,22.68,-3.98,117.28,19.98
349,San Francisco,20,CO,1563031371,64,1.17,-76.88,68.0,4.34
350,Saravena,100,CO,1563031486,88,6.96,-71.88,74.08,2.86
351,Beauvais,90,FR,1563031487,53,49.44,2.09,80.01,13.87
352,Araguaina,0,BR,1563031488,35,-7.19,-48.21,91.54,9.82
353,Lac du Bonnet,0,CA,1563031489,65,50.25,-96.06,73.0,1.99
354,Jhang,20,PK,1563031491,70,33.67,72.7,84.99,11.41
355,Beyneu,17,KZ,1563031492,26,45.32,55.19,99.28,15.57
356,Moerai,15,PF,1563031493,82,-22.43,-151.33,70.84,8.66
357,Airai,55,TL,1563031495,83,-8.93,125.41,68.5,5.46
358,Karratha,0,AU,1563031496,20,-20.74,116.85,68.68,12.26
359,Rundu,0,NA,1563031497,11,-17.91,19.77,80.6,9.17
360,Khatanga,23,RU,1563031498,62,71.98,102.47,54.64,3.96
361,Labytnangi,100,RU,1563031500,63,66.66,66.39,61.66,7.29
362,Neuquen,75,AR,1563031363,93,-38.95,-68.06,37.4,4.7
363,Barentu,100,ER,1563031502,44,15.11,37.59,86.68,9.75
364,Rio Gallegos,75,AR,1563031373,87,-51.62,-69.22,42.8,10.29
365,Carnarvon,0,ZA,1563031491,16,-30.97,22.13,66.52,11.23
366,Gizo,0,IL,1563031348,54,31.8,34.94,86.0,13.87
367,Egvekinot,100,RU,1563031507,73,66.32,-179.17,62.38,1.81
368,Volchanets,100,RU,1563031508,99,42.91,132.75,59.5,2.59
369,Cuamba,0,MZ,1563031510,41,-14.8,36.54,72.1,8.14
370,San Carlos del Zulia,95,VE,1563031511,69,9.0,-71.91,84.7,5.37
371,Shelburne,90,CA,1563031512,54,44.08,-80.2,81.0,5.82
372,Roald,75,NO,1563031514,71,62.58,6.12,60.01,11.41
373,Kirakira,75,SB,1563031515,85,-10.46,161.92,78.22,4.92
374,Half Moon Bay,90,US,1563031516,100,37.46,-122.43,64.99,3.36
375,Juneau,90,US,1563031228,100,58.3,-134.42,57.0,0.89
376,Pangkalanbuun,100,ID,1563031431,93,-2.68,111.62,71.56,2.91
377,Makakilo City,40,US,1563031520,74,21.35,-158.09,79.0,5.82
378,Udachnyy,90,RU,1563031521,82,66.42,112.4,60.8,4.47
379,Mariveles,75,PH,1563031522,83,14.48,120.48,84.99,3.36
380,Tiarei,10,PF,1563031521,83,-17.53,-149.33,73.4,4.7
381,Tam Ky,20,VN,1563031525,74,15.57,108.48,87.8,2.57
382,Ziro,100,IN,1563031526,98,27.54,93.82,59.5,2.86
383,Kiama,0,AU,1563031528,49,-34.67,150.86,50.0,8.05
384,Port Hawkesbury,90,CA,1563031529,88,45.62,-61.36,64.0,18.34
385,Ayan,80,IR,1563031530,22,38.23,44.7,71.02,4.38
386,Yerbogachen,0,RU,1563031532,76,61.28,108.01,60.94,4.38
387,Vanimo,2,PG,1563031533,71,-2.67,141.3,82.9,5.3
388,Saint-Georges,32,CA,1563031263,64,46.12,-70.67,75.99,1.99
389,Mae Hong Son,100,MM,1563031536,98,19.3,97.96,70.84,2.77
390,Araouane,0,ML,1563031537,13,18.9,-3.53,110.08,13.96
391,Llangefni,96,GB,1563031538,63,53.26,-4.31,64.4,14.99
392,Ketchikan,20,US,1563031540,93,55.34,-131.65,60.8,5.82
393,Turukhansk,15,RU,1563031541,70,65.8,87.96,59.14,12.08
394,Baie-Comeau,90,CA,1563031387,87,49.22,-68.15,66.0,8.05
395,Port Keats,1,AU,1563031543,33,-14.25,129.55,71.2,14.07
396,Beli Manastir,40,HR,1563031545,88,45.77,18.61,66.2,6.93
397,Boa Vista,40,BR,1563031546,58,2.82,-60.67,87.8,10.29
398,Rorvik,100,NO,1563031547,85,64.86,11.24,55.0,3.0
399,Svetlogorsk,40,RU,1563031548,54,53.14,59.15,82.4,4.47
400,Taungdwingyi,100,MM,1563031550,85,20.0,95.55,77.32,9.82
401,Winslow,40,GB,1563031551,60,51.94,-0.88,75.99,8.05
402,Haines Junction,100,CA,1563031552,83,60.75,-137.51,46.36,3.29
403,Catalina,90,PE,1563031554,30,-13.57,-76.13,71.6,6.93
404,Tarso,75,CO,1563031555,64,5.86,-75.82,73.4,3.36
405,Bandarbeyla,20,SO,1563031508,33,9.49,50.81,92.44,20.6
406,Lyuban,31,BY,1563031557,66,52.8,28.0,65.44,0.29
407,Hongjiang,100,CN,1563031559,98,27.21,109.83,66.88,0.6
408,Mandera,51,ET,1563031560,37,3.94,41.86,89.2,20.29
409,Baruun-Urt,0,MN,1563031561,50,46.68,113.28,67.06,7.56
410,Maceio,90,BR,1563031563,88,-9.67,-35.74,75.2,5.82
411,Staryy Nadym,69,RU,1563031564,53,65.61,72.68,63.64,7.23
412,Pangnirtung,90,CA,1563031565,100,66.15,-65.72,46.4,3.36
413,Vostok,63,RU,1563031543,83,46.45,135.83,57.34,3.83
414,Faya,40,SA,1563031568,9,18.39,42.45,87.8,14.99
415,North Myrtle Beach,1,US,1563031362,70,33.83,-78.68,91.99,6.93
416,Bonthe,100,SL,1563031570,88,7.53,-12.5,77.14,13.11
417,Puerto El Triunfo,20,SV,1563031571,58,13.27,-88.55,86.0,2.24
418,Guacimo,40,CO,1563031573,74,8.09,-76.36,84.2,2.3
419,Tatsuno,100,JP,1563031574,99,34.87,134.51,69.01,2.8
420,Ormara,100,PK,1563031576,76,25.21,64.64,82.18,17.56
421,Polovinnoye,0,RU,1563031577,76,54.79,65.99,73.72,10.36
422,Ozernovskiy,38,RU,1563031578,95,51.5,156.52,42.58,1.32
423,Phan Thiet,46,VN,1563031338,89,10.93,108.1,76.06,4.41
424,Mildura,0,AU,1563031581,93,-34.18,142.16,39.2,1.12
425,Saint John,90,CA,1563031582,88,45.28,-66.06,69.01,6.93
426,Jutai,3,BR,1563031583,94,-1.71,-47.89,80.2,4.43
427,Mujiayingzi,100,CN,1563031585,77,42.12,118.78,62.02,1.99
428,Villa Corona,40,MX,1563031586,68,20.42,-103.66,71.01,4.7
429,Lagoa,20,PT,1563031324,78,37.14,-8.45,78.01,11.41
430,Banda Aceh,9,ID,1563031469,75,5.56,95.32,84.52,11.56
431,Oxford,75,US,1563031590,74,33.61,-85.83,87.01,6.93
432,Vigrestad,40,NO,1563031591,72,58.57,5.7,60.01,19.46
433,Buraydah,0,SA,1563031592,16,26.33,43.97,104.0,14.99
434,Puksoozero,94,RU,1563031594,65,62.59,40.61,58.6,5.08
435,Ballina,40,IE,1563031595,63,54.11,-9.15,64.99,6.93
436,Bintulu,75,MY,1563031596,94,3.17,113.03,75.2,6.93
437,Aloleng,50,PH,1563031598,66,16.13,119.78,85.6,5.12
438,Jalu,0,LY,1563031581,12,29.03,21.55,100.18,15.82
439,Curuca,0,BR,1563031600,52,-2.52,-61.06,87.94,6.24
440,Syracuse,20,US,1563031392,64,43.05,-76.15,78.01,4.7
441,Porto Velho,0,BR,1563031603,84,-8.75,-63.87,86.0,2.24
442,Nokaneng,0,BW,1563031604,9,-19.66,22.19,79.66,8.16
443,Zalantun,85,CN,1563031605,90,48.0,122.72,62.2,3.13
444,Bin Qirdan,0,TN,1563031607,17,33.14,11.22,102.52,13.27
445,Verkhnechusovskiye Gorodki,76,RU,1563031608,86,58.17,57.11,72.1,5.77
446,Narrabri,0,AU,1563031609,74,-30.33,149.78,42.01,1.12
447,Donetsk,68,UA,1563031611,41,48.02,37.8,74.62,6.8
448,Aquidauana,0,BR,1563031612,25,-20.47,-55.78,88.3,5.08
449,Sibu,75,MY,1563031613,94,2.29,111.83,77.0,2.24
450,Krutikha,0,RU,1563031614,73,53.96,81.21,65.62,8.34
451,Polson,20,US,1563031616,93,47.69,-114.16,64.0,4.7
452,Honningsvag,68,NO,1563031617,81,70.98,25.97,44.56,8.75
453,Dawlatabad,0,AF,1563031618,9,36.41,64.91,94.24,8.75
454,Zarya,40,RU,1563031620,64,44.89,37.47,73.4,8.95
455,Dunkirk,63,FR,1563031621,68,51.03,2.38,70.0,12.75
456,Berlevag,100,NO,1563031535,83,70.86,29.09,44.56,7.29
457,Paita,0,PE,1563031623,290,-5.09,-81.11,62.6,20.8
458,Nortelandia,0,BR,1563031369,27,-14.45,-56.8,91.54,4.54
459,Yertsevo,98,RU,1563031626,61,60.8,40.09,59.32,5.84
460,Fond du Lac,1,US,1563031597,61,43.77,-88.45,82.99,8.05
461,Cayenne,32,GF,1563031628,66,4.94,-52.33,86.0,11.41
462,Bongandanga,67,CD,1563031630,59,1.51,21.07,82.72,4.52
463,Fairbanks,90,US,1563031397,93,64.84,-147.72,60.8,2.46
464,Khani,75,GE,1563031632,73,41.96,42.96,71.6,10.29
465,Brumadinho,0,BR,1563031469,32,-20.14,-44.2,80.6,4.7
466,Lukovetskiy,75,RU,1563031635,67,64.29,41.92,59.0,6.71
467,Pitimbu,75,BR,1563031636,69,-7.47,-34.81,82.4,6.93
468,Manzil Salim,0,TN,1563031637,9,35.86,8.48,104.0,10.29
469,Le Port,20,FR,1563031639,33,42.87,1.37,89.6,17.22
470,Casablanca,40,MA,1563031640,65,33.6,-7.62,80.6,12.75
471,Hobbs,5,US,1563031641,47,32.7,-103.14,84.99,6.93
472,Gushikawa,1,JP,1563031643,88,26.35,127.87,84.2,12.75
473,Mathbaria,100,BD,1563031595,86,22.29,89.96,82.0,10.74
474,Pervomayskiy,66,RU,1563031645,68,53.24,40.29,65.98,6.53
475,Aguimes,20,ES,1563031647,61,27.91,-15.45,79.0,33.33
476,Venustiano Carranza,75,MX,1563031648,77,19.42,-99.11,68.0,3.15
477,Gimli,0,CA,1563031649,53,50.63,-96.99,73.99,3.0
478,Lamar,1,US,1563031650,54,38.09,-102.62,80.6,9.17
479,Christchurch,35,NZ,1563031653,58,-43.53,172.64,57.99,12.75
480,Evensk,5,RU,1563031516,89,61.92,159.24,52.3,0.36
481,Uhlove,10,UA,1563031655,62,44.82,33.6,71.56,15.35
482,Malinyi,0,TZ,1563031656,42,-8.94,36.14,81.28,4.59
483,Ranong,64,TH,1563031658,74,9.96,98.62,83.8,11.18
484,Valparaiso,1,US,1563031659,51,41.47,-87.06,86.0,10.29
485,Trincomalee,100,LK,1563031660,68,8.58,81.23,81.64,5.37
486,Acapulco,90,MX,1563031662,74,16.86,-99.88,82.4,3.36
487,Borgomanero,40,IT,1563031663,42,45.7,8.46,89.01,8.05
488,Umm Kaddadah,0,SD,1563031664,26,13.6,26.69,93.34,4.34
489,Nabire,100,ID,1563031666,97,-3.36,135.5,66.34,4.16
490,Nauta,0,PE,1563031667,57,-4.51,-73.58,85.78,3.31
491,Mutoko,0,ZW,1563031668,17,-17.4,32.23,69.76,7.07
492,Plettenberg Bay,0,ZA,1563031669,72,-34.05,23.37,58.6,1.68
493,Athikia,20,GR,1563031671,54,37.82,22.93,84.99,9.17
494,Saskatoon,20,CA,1563031634,68,52.13,-106.66,73.99,4.7
495,Golden,1,US,1563031538,53,39.76,-105.22,78.01,2.42
496,Port Blair,100,IN,1563031674,79,11.67,92.75,83.44,15.64
497,San Cristobal,100,HN,1563031676,54,14.68,-86.92,76.78,7.43
498,Mayna,100,RU,1563031677,95,53.0,91.49,60.58,1.72
499,Bamiantong,100,CN,1563031678,97,44.93,130.53,59.86,2.53
500,Kieta,100,PG,1563031680,77,-6.22,155.63,80.2,5.41
501,Wajir,75,KE,1563031681,36,1.75,40.07,91.4,9.17
502,Nanzhang,0,CN,1563031682,80,31.78,111.84,69.58,4.34
503,Belaya Gora,96,RU,1563031683,65,68.54,146.19,57.16,13.42
504,Hebi,53,CN,1563031685,38,35.75,114.29,82.54,6.42
505,Bay Roberts,75,CA,1563031686,67,47.58,-53.28,66.0,8.05
506,Grand Baie,75,MU,1563031687,56,-20.02,57.58,71.6,6.93
507,Byron Bay,29,AU,1563031644,53,-28.65,153.62,57.99,9.17
508,Bell Ville,15,AR,1563031690,61,-32.63,-62.69,56.8,4.92
509,Griffith,0,AU,1563031691,84,-34.29,146.06,41.0,4.7
510,Qaqortoq,20,GL,1563031692,51,60.72,-46.03,60.8,8.05
511,Chimoio,0,MZ,1563031693,46,-19.11,33.48,71.6,5.7
512,Ugoofaaru,67,MV,1563031688,73,5.67,73.0,84.16,6.11
513,Talaya,0,RU,1563031515,64,55.79,84.89,69.8,4.47
514,Elbasan,75,AL,1563031697,49,41.11,20.08,78.8,5.82
515,Gat,0,SN,1563031698,52,14.69,-16.54,87.8,12.75
516,Mayo,90,CA,1563031700,87,63.59,-135.9,57.2,2.24
517,Pisco,90,PE,1563031701,30,-13.71,-76.2,71.6,6.93
518,Atbasar,0,KZ,1563031481,49,51.81,68.36,74.26,9.15
519,Pauini,0,BR,1563031704,86,-7.71,-67.0,80.92,1.5
520,Batagay-Alyta,88,RU,1563031705,94,67.8,130.41,49.42,1.61
521,La Cruz,74,MX,1563031706,73,23.92,-106.89,84.0,1.99
522,Viareggio,20,IT,1563031708,55,43.87,10.25,87.01,11.41
523,Mitu,0,IR,1563031709,14,36.2,46.09,83.98,17.67
524,Praya,20,ID,1563031710,94,-8.71,116.27,68.0,2.24
525,Tighina,0,RO,1563031711,33,44.57,24.3,77.0,6.93
526,Shaowu,100,CN,1563031713,98,27.34,117.49,69.58,1.05
527,Mashhad,0,IR,1563031430,11,36.3,59.61,96.8,11.41
528,Baykit,100,RU,1563031715,97,61.68,96.39,57.88,2.71
529,College,90,US,1563031687,87,64.86,-147.8,60.8,4.7
530,Tezu,100,IN,1563031718,97,27.93,96.16,70.48,4.03
531,Fort Nelson,90,CA,1563031719,93,58.81,-122.69,53.6,4.7
532,Burgeo,100,CA,1563031720,91,47.61,-57.61,52.66,14.18
533,Rovaniemi,90,FI,1563031722,66,66.5,25.72,51.8,10.29
534,Mandaguari,0,BR,1563031723,44,-23.52,-51.68,78.8,5.82
535,Yumen,2,CN,1563031724,35,40.29,97.04,73.36,13.18
536,Moron,0,HT,1563031557,67,18.56,-74.26,83.62,5.55
537,Graaff-Reinet,0,ZA,1563031727,23,-32.25,24.53,68.86,7.25
538,Praia da Vitoria,20,PT,1563031728,65,38.73,-27.07,80.6,12.84
539,Gladstone,100,AU,1563031729,39,-23.84,151.26,62.6,5.82
540,Bosaso,35,SO,1563031731,66,11.28,49.18,89.38,7.63
541,Boyolangu,0,ID,1563031732,92,-8.09,111.9,64.36,6.24
542,Sao Pedro,40,PT,1563031733,83,41.13,-7.96,77.0,12.75
543,Del Rio,20,US,1563031734,45,29.36,-100.9,87.8,6.93
544,Oudtshoorn,20,ZA,1563031736,87,-33.59,22.2,59.0,4.7
545,Jurbise,96,BE,1563031737,72,50.53,3.91,71.01,11.41
546,Kyabram,0,AU,1563031738,84,-36.31,145.05,42.01,8.55
547,Zirandaro,46,MX,1563031740,87,18.45,-100.98,77.32,0.56
548,Itarema,62,BR,1563031646,63,-2.92,-39.92,84.7,12.93
549,Belmopan,20,BZ,1563031742,78,17.25,-88.77,87.8,4.7
550,Necochea,29,AR,1563031743,89,-38.55,-58.74,50.0,1.99
551,Kidal,33,ML,1563031745,23,18.44,1.41,101.26,10.56
552,Houma,0,CN,1563031746,35,35.63,111.36,82.54,5.03
553,Sulangan,100,PH,1563031547,69,11.14,123.72,82.54,4.79
554,San Andres,98,PH,1563031748,89,13.32,122.68,76.06,0.98
555,Bambanglipuro,0,ID,1563031750,79,-7.95,110.28,75.52,16.67
556,Ritchie,0,ZA,1563031751,17,-29.03,24.6,82.4,1.12
557,Labuhan,71,ID,1563031752,92,-2.54,115.51,71.2,2.1
558,Kasempa,0,ZM,1563031753,18,-13.46,25.83,79.12,3.76
559,Phu Ly,100,VN,1563031755,75,20.54,105.91,83.44,2.33
560,Shenkursk,98,RU,1563031756,72,62.11,42.91,59.5,0.87
561,Payo,20,ID,1563031757,94,-3.75,103.64,68.14,2.84
562,Kholodnyy,97,RU,1563031759,53,62.72,147.95,59.14,4.43
563,Port Hardy,75,CA,1563031760,93,50.7,-127.42,59.0,3.36
564,Skibbereen,40,IE,1563031761,56,51.55,-9.27,68.0,4.7
565,Saurimo,0,AO,1563031762,32,-9.66,20.4,84.2,3.11
566,Shache,100,CN,1563031764,60,38.42,77.24,82.99,2.57
567,Gravelbourg,80,CA,1563031739,67,49.88,-106.56,71.38,6.58
568,Caratinga,0,BR,1563031766,41,-19.79,-42.14,78.94,2.8
569,Inverell,0,AU,1563031767,73,-29.78,151.11,36.0,1.99
570,Karibib,0,NA,1563031769,8,-21.94,15.86,83.08,11.23
571,Yichun,100,CN,1563031770,98,27.8,114.38,70.3,2.17
